player,team,position,games,winrate,avg_kills,avg_deaths,avg_assists,avg_damage,avg_dpm,avg_cspm,avg_vision,kda
Knight,Bilibili Gaming,mid,180,0.6166666666666667,5.144444444444445,2.388888888888889,7.116666666666666,23791.45,734.3066472222222,8.456398333333334,34.71666666666667,5.132558139534884
Elk,Bilibili Gaming,bot,180,0.6166666666666667,5.088888888888889,2.3055555555555554,6.85,25602.683333333334,783.009816111111,9.20665,39.77777777777778,5.178313253012048
Delight,Hanwha Life Esports,sup,169,0.6449704142011834,0.9526627218934911,3.2544378698224854,12.041420118343195,6711.92899408284,209.63946863905326,1.2228355029585798,117.13609467455622,3.9927272727272722
Zeka,Hanwha Life Esports,mid,169,0.6449704142011834,4.230769230769231,2.4319526627218937,6.662721893491124,22249.899408284025,690.4514307692308,8.626797041420119,39.42011834319526,4.479318734793186
Zeus,Hanwha Life Esports,top,169,0.6449704142011834,3.4911242603550297,3.0473372781065087,6.443786982248521,20761.331360946744,645.4319284023668,7.934844378698224,33.30177514792899,3.2601941747572822
Kiin,Gen.G,top,167,0.7005988023952096,3.2395209580838324,2.6167664670658684,6.3532934131736525,20601.437125748504,643.5759676646707,7.899695209580838,36.053892215568865,3.665903890160183
Duro,Gen.G,sup,167,0.7005988023952096,0.6646706586826348,2.9520958083832336,11.419161676646707,6344.74251497006,200.63783592814374,0.8326988023952095,116.33532934131736,4.093306288032455
Canyon,Gen.G,jng,165,0.7090909090909091,2.909090909090909,2.4,8.387878787878789,14195.630303030302,443.3129418181818,6.831305454545455,50.90909090909091,4.707070707070708
Ruler,Gen.G,bot,163,0.7177914110429447,5.723926380368098,1.9631901840490797,5.938650306748467,25297.184049079755,785.0902147239264,9.80320736196319,43.39877300613497,5.940625000000001
ShowMaker,Dplus KIA,mid,163,0.5705521472392638,3.6564417177914113,2.276073619631902,6.803680981595092,21091.184049079755,662.9099680981595,8.522820858895706,36.98159509202454,4.5956873315363875
Siwoo,Dplus KIA,top,163,0.5705521472392638,2.8282208588957056,2.8098159509202456,5.067484662576687,19489.57055214724,607.0090226993865,7.923892024539877,33.15950920245399,2.8100436681222707
Chovy,Gen.G,mid,163,0.7177914110429447,3.7300613496932513,2.042944785276074,7.49079754601227,24964.815950920245,774.6263417177914,9.307749693251534,42.80368098159509,5.4924924924924925
Lucid,Dplus KIA,jng,162,0.5679012345679012,3.2160493827160495,2.9382716049382718,8.080246913580247,13916.777777777777,434.94629567901234,6.392782716049382,53.592592592592595,3.84453781512605
Xiaohu,Weibo Gaming,mid,160,0.4625,3.2625,2.70625,7.19375,21861.675,665.8159525,8.073149375,38.81875,3.8637413394919173
Career,BNK FEARX Youth,sup,154,0.512987012987013,1.0649350649350648,3.103896103896104,11.733766233766234,7809.071428571428,246.5320272727273,1.2412012987012988,120.61688311688312,4.123430962343097
Peanut,Hanwha Life Esports,jng,152,0.6447368421052632,2.8815789473684212,2.9342105263157894,8.94078947368421,13508.157894736842,417.5806092105263,6.461024342105263,53.76973684210526,4.0291479820627805
Viper,Hanwha Life Esports,bot,152,0.6447368421052632,5.3618421052631575,2.0328947368421053,6.421052631578948,26129.815789473683,790.2132710526315,9.500867763157895,42.0328947368421,5.7961165048543695
Xun,JD Gaming,jng,151,0.5298013245033113,3.596026490066225,2.7086092715231787,7.178807947019868,14270.69536423841,436.65138807947017,6.7016807947019865,44.58940397350993,3.97799511002445
Peyz,JD Gaming,bot,151,0.5298013245033113,4.582781456953643,2.1059602649006623,6.258278145695364,25131.490066225164,763.992161589404,9.563902649006623,40.688741721854306,5.147798742138365
Scout,JD Gaming,mid,151,0.5298013245033113,3.271523178807947,2.6887417218543046,7.026490066225166,21497.324503311258,660.6399774834437,8.263375496688742,32.99337748344371,3.830049261083744
Tian,Weibo Gaming,jng,150,0.4666666666666667,3.473333333333333,3.2133333333333334,7.4,15153.78,463.20043666666663,6.8438593333333335,52.06666666666667,3.383817427385892
Breathe,Weibo Gaming,top,150,0.4666666666666667,2.84,2.82,5.726666666666667,18805.12,570.5693533333334,7.895477333333333,34.95333333333333,3.037825059101655
Light,Weibo Gaming,bot,150,0.4666666666666667,4.566666666666666,2.2133333333333334,5.846666666666667,23693.873333333333,718.9717813333333,9.042968,33.64,4.704819277108434
Haetae,T1 Esports Academy,top,148,0.6148648648648649,2.9324324324324325,2.6486486486486487,5.533783783783784,20291.858108108107,646.874145945946,7.859345945945946,30.905405405405407,3.196428571428572
Cloud,T1 Esports Academy,sup,148,0.6148648648648649,0.8783783783783784,4.101351351351352,11.91891891891892,7460.040540540541,239.82655878378378,1.1030777027027028,128.3310810810811,3.1202635914332784
Vincenzo,T1 Esports Academy,jng,148,0.6148648648648649,3.6621621621621623,2.831081081081081,8.216216216216216,14402.648648648648,454.98959391891896,6.893432432432432,48.99324324324324,4.195704057279237
Daystar,BNK FEARX Youth,mid,148,0.5067567567567568,3.641891891891892,3.2027027027027026,7.621621621621622,22721.641891891893,710.2745506756756,8.688972297297298,30.64864864864865,3.516877637130802
Soboro,BNK FEARX Youth,top,146,0.5136986301369864,3.4315068493150687,3.7260273972602738,6.7534246575342465,21088.15068493151,668.5297219178082,7.408487671232877,27.698630136986303,2.7334558823529416
BeryL,Dplus KIA,sup,146,0.5684931506849316,0.7602739726027398,3.684931506849315,9.91095890410959,7566.465753424657,235.34914041095888,1.1836075342465753,111.33561643835617,2.895910780669145
Aiming,Dplus KIA,bot,146,0.5684931506849316,4.513698630136986,1.8356164383561644,6.410958904109589,24715.842465753423,759.7849143835616,9.74141301369863,39.342465753424655,5.951492537313432
Gumayusi,T1,bot,145,0.6275862068965518,5.179310344827586,2.317241379310345,6.496551724137931,25980.05517241379,795.2943048275862,9.682310344827586,38.83448275862069,5.038690476190476
Meiko,Invictus Gaming,sup,144,0.5833333333333334,0.7222222222222222,3.625,11.680555555555555,7084.319444444444,213.8973173611111,1.0236347222222222,119.375,3.4214559386973176
GALA,Invictus Gaming,bot,144,0.5833333333333334,5.548611111111111,2.4097222222222223,6.041666666666667,26281.73611111111,782.809875,9.20441736111111,33.513888888888886,4.8097982708933715
Kingen,Nongshim RedForce,top,144,0.4166666666666667,2.701388888888889,3.2916666666666665,4.826388888888889,20421.680555555555,650.4599375,7.844925694444445,31.02777777777778,2.286919831223629
Lehends,Nongshim RedForce,sup,144,0.4166666666666667,0.9861111111111112,4.430555555555555,8.493055555555555,7319.166666666667,238.4550027777778,1.0594222222222223,105.27777777777777,2.1394984326018807
TheShy,Invictus Gaming,top,144,0.5833333333333334,2.8402777777777777,3.6805555555555554,6.277777777777778,22344.125,667.0372444444444,7.5552270833333335,29.479166666666668,2.4773584905660377
Rookie,Invictus Gaming,mid,144,0.5833333333333334,3.5902777777777777,2.5555555555555554,8.097222222222221,23596.381944444445,702.27745625,8.249223611111113,38.6875,4.573369565217392
Juhan,DRX Challengers,jng,141,0.5815602836879432,3.574468085106383,3.141843971631206,8.815602836879433,15981.787234042553,486.21876808510643,6.677065957446809,50.88652482269504,3.943566591422122
Frog,DRX Challengers,top,141,0.5815602836879432,2.921985815602837,2.269503546099291,6.319148936170213,18710.304964539006,571.3361872340427,7.759409219858156,33.751773049645394,4.0718749999999995
Karis,Team WE,mid,141,0.3829787234042553,3.5673758865248226,2.971631205673759,6.290780141843972,20049.23404255319,624.6937326241135,8.338330496453901,36.241134751773046,3.317422434367542
Cube,Team WE,top,141,0.3829787234042553,2.141843971631206,3.0141843971631204,5.900709219858156,17924.0,564.1351723404255,7.827646099290781,32.219858156028366,2.668235294117647
Slayer,DN Freecs Challengers,bot,139,0.5323741007194245,5.071942446043166,2.964028776978417,6.0503597122302155,25046.61870503597,776.4960050359713,9.252142446043166,30.863309352517987,3.7524271844660197
