player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
Roison,eSuba,mid,40,28,4.825,2.025,7.85,783.2648624999999,8.20482,19.3,70.0,6.26,70.0,6.26,HM,Europe
Slyv3r,mCon esports,bot,28,17,3.892857142857143,2.107142857142857,9.285714285714286,663.4781214285714,7.858142857142858,29.321428571428573,60.7,6.25,60.7,6.25,ROL,Other
DG Wing,Deltan Gaming,bot,10,6,5.1,2.2,8.6,707.65258,7.12252,18.1,60.0,6.23,60.0,6.23,LJL,Japan
Kisee,Vivo Keyd Stars Academy,bot,23,16,5.434782608695652,2.1739130434782608,7.913043478260869,861.2799130434781,8.989591304347826,34.43478260869565,69.6,6.14,69.6,6.14,CD,Latin America
Kisno,DarkZero Dragonsteel,jng,19,12,2.6315789473684212,2.0,9.578947368421053,417.9512,6.195084210526316,54.31578947368421,63.2,6.11,63.2,6.11,NACL,North America
Grevthar,RED Academy,mid,16,11,5.125,1.8125,5.9375,680.1806375,8.658631250000001,34.3125,68.8,6.1,68.8,6.1,CD,Latin America
Spica,Near Airport,jng,38,24,3.8421052631578947,2.0526315789473686,8.68421052631579,503.8049894736842,7.05,49.26315789473684,63.2,6.1,63.2,6.1,NACL,North America
Axelent,Team Phantasma,bot,70,48,6.414285714285715,2.142857142857143,6.628571428571429,764.9955271428571,9.23463,29.142857142857142,68.6,6.09,68.6,6.09,HLL,Europe
BEAN,Berlin International Gaming,bot,103,73,5.699029126213592,2.0485436893203883,6.728155339805825,792.6687330097087,9.398593203883495,23.728155339805824,70.9,6.07,70.9,6.07,PRM,Europe
Marty,ZennIT,mid,54,35,4.851851851851852,2.037037037037037,7.518518518518518,776.2443259259259,8.447933333333333,24.37037037037037,64.8,6.07,64.8,6.07,ROL,Other
Boye,Keypulse Esports,mid,10,5,3.0,1.9,8.5,594.16773,8.061490000000001,29.0,50.0,6.05,50.0,6.05,LPLOL,Other
Zeyzal,Luminosity Gaming,sup,64,48,0.875,2.140625,12.78125,232.65563281250002,1.013190625,109.234375,75.0,6.38,70.1,6.05,NACL,North America
Hope,Anyone's Legend,bot,183,117,5.595628415300546,2.092896174863388,7.311475409836065,772.7649885245902,9.314931147540984,43.322404371584696,63.9,6.17,63.8,6.03,LPL,China
STANIK,Nightbirds,mid,82,56,4.2926829268292686,1.9146341463414633,7.2560975609756095,651.8778426829268,8.807951219512194,27.378048780487806,68.3,6.03,68.3,6.03,HM,Europe
Aiming,Dplus KIA,bot,146,83,4.513698630136986,1.8356164383561644,6.410958904109589,759.7849143835616,9.74141301369863,39.342465753424655,56.8,5.95,56.3,6.0,LCK,Korea
