team,games,wins,avg_kills,avg_deaths,avg_dragons,avg_barons,avg_towers,avg_gamelength,winrate,weighted_winrate,primary_league,region
DetonatioN FocusMe Academy,48,24,18.020833333333332,21.083333333333332,1.5,0.2916666666666667,5.104166666666667,29.0,50.0,51.8,LJL,Japan
KT Rolster,134,67,14.559701492537313,14.261194029850746,2.529850746268657,0.5223880597014925,5.3059701492537314,32.3,50.0,51.8,LCK,Korea
RED Canids,63,32,15.73015873015873,13.984126984126984,2.507936507936508,0.47619047619047616,6.444444444444445,33.3,50.8,51.7,LTA S,Latin America
Movistar KOI,109,58,13.98165137614679,12.862385321100918,2.36697247706422,0.6238532110091743,6.229357798165138,33.5,53.2,51.7,LEC,Europe
G2 Hel,31,16,19.193548387096776,18.548387096774192,2.161290322580645,0.7096774193548387,6.903225806451613,33.8,51.6,51.6,NEXO,Other
UCAM Esports,62,32,15.419354838709678,14.919354838709678,2.1451612903225805,0.5967741935483871,6.290322580645161,33.4,51.6,51.6,LVP SL,Europe
ROSSMANN Centaurs,101,52,17.782178217821784,19.198019801980198,2.5445544554455446,0.5445544554455446,6.693069306930693,32.4,51.5,51.5,PRM,Europe
BNK FEARX Youth,154,79,16.857142857142858,16.16883116883117,2.175324675324675,0.525974025974026,5.636363636363637,31.4,51.3,51.0,LCKC,Korea
AVE Axolotl,53,27,16.30188679245283,15.735849056603774,2.150943396226415,0.4528301886792453,5.962264150943396,31.6,50.9,50.9,LIT,Europe
Isurus Estral,38,19,13.736842105263158,15.078947368421053,2.263157894736842,0.42105263157894735,6.2894736842105265,32.7,50.0,50.7,LTA S,Latin America
Kaufland Hangry Knights,75,38,17.373333333333335,15.24,2.1866666666666665,0.49333333333333335,6.573333333333333,31.7,50.7,50.7,PRM,Europe
Flamengo MDL,77,38,16.92207792207792,15.363636363636363,2.5584415584415585,0.5974025974025974,6.194805194805195,33.3,49.4,50.5,CD,Latin America
Bamboo Juice,18,9,20.055555555555557,20.833333333333332,2.4444444444444446,0.3888888888888889,5.944444444444445,29.3,50.0,50.0,LJL,Japan
Leões Porto Salvo Esports,16,8,18.0625,17.3125,2.125,0.4375,5.3125,32.0,50.0,50.0,LPLOL,Other
Gwenchana,10,5,15.9,14.3,1.5,0.0,5.5,29.3,50.0,50.0,CD,Latin America
PSG Talon,92,49,13.880434782608695,12.967391304347826,2.239130434782609,0.6521739130434783,6.3478260869565215,32.7,53.3,50.0,LCP,Southeast Asia
PSG Talon Academy,70,35,18.957142857142856,18.385714285714286,2.0714285714285716,0.4714285714285714,5.857142857142857,31.0,50.0,50.0,PCS,Southeast Asia
Fortress Esports,12,6,17.916666666666668,17.166666666666668,2.9166666666666665,0.5,5.583333333333333,31.8,50.0,50.0,NLC,Europe
Veni Vidi Vici,76,38,14.986842105263158,17.19736842105263,2.4342105263157894,0.5657894736842105,5.934210526315789,31.2,50.0,50.0,LVP SL,Europe
Contrata Logo Meu Time,14,7,17.0,17.857142857142858,1.9285714285714286,0.35714285714285715,6.142857142857143,31.0,50.0,50.0,CD,Latin America
Mental Over Tempo,10,5,17.5,15.1,2.5,0.4,5.7,29.9,50.0,50.0,EBL,Europe
Mila Gaming,16,8,19.9375,19.3125,2.25,0.5,5.3125,29.8,50.0,50.0,VCS,Southeast Asia
