champion,games,winrate,avg_kills,avg_deaths,avg_assists,kda
Lillia,539,0.49536178107606677,4.066790352504638,2.99443413729128,7.458256029684601,3.8488228004956624
Zeri,527,0.5009487666034156,5.299810246679317,2.8349146110056926,5.555977229601518,3.829317269076305
Lulu,489,0.47443762781186094,0.8098159509202454,2.6298568507157465,11.190184049079754,4.56298600311042
Senna,488,0.5061475409836066,3.4549180327868854,2.3586065573770494,9.801229508196721,5.620330147697654
Gragas,445,0.4764044943820225,2.053932584269663,3.440449438202247,6.191011235955056,2.3964728935336383
Lee Sin,433,0.49884526558891457,4.244803695150115,3.3856812933025404,7.51270207852194,3.472714870395634
Zyra,432,0.5254629629629629,3.178240740740741,3.298611111111111,8.300925925925926,3.48
Smolder,395,0.4506329113924051,5.3544303797468356,2.9974683544303797,5.007594936708861,3.456925675675676
Ziggs,375,0.4746666666666667,3.6906666666666665,2.530666666666667,6.664,4.091675447839831
Nidalee,361,0.5401662049861495,3.6759002770083105,2.515235457063712,6.797783933518006,4.16409691629956
Camille,357,0.5266106442577031,3.831932773109244,3.425770308123249,5.072829131652661,2.599345870809485
Caitlyn,327,0.5443425076452599,4.871559633027523,2.706422018348624,4.553516819571866,3.4824858757062147
Mel,291,0.43986254295532645,6.378006872852234,3.1374570446735395,4.6632302405498285,3.5191675794085433
Ivern,290,0.5275862068965518,1.217241379310345,2.282758620689655,11.489655172413793,5.566465256797583
Nami,280,0.46785714285714286,0.7857142857142857,2.8142857142857145,11.75,4.4543147208121825
Aphelios,278,0.4568345323741007,5.345323741007194,3.3956834532374103,4.539568345323741,2.9110169491525424
Cho'Gath,274,0.4635036496350365,3.3795620437956204,3.894160583941606,5.036496350364963,2.1611996251171504
Shen,265,0.5207547169811321,2.667924528301887,3.2264150943396226,9.350943396226414,3.725146198830409
Elise,224,0.47767857142857145,2.732142857142857,4.589285714285714,7.383928571428571,2.2042801556420235
Qiyana,220,0.4863636363636364,4.713636363636364,3.5545454545454547,6.85,3.253196930946291
Blitzcrank,218,0.5321100917431193,0.8440366972477065,4.0,10.954128440366972,2.9495412844036695
LeBlanc,216,0.4722222222222222,4.662037037037037,2.7731481481481484,6.037037037037037,3.8580968280467443
Zed,211,0.5023696682464455,5.2843601895734595,3.4312796208530805,6.099526066350711,3.31767955801105
Dr. Mundo,203,0.5320197044334976,3.039408866995074,2.7980295566502464,6.113300492610837,3.27112676056338
Pyke,202,0.5,3.6435643564356437,4.267326732673268,7.737623762376238,2.667053364269141
Cassiopeia,187,0.49732620320855614,3.828877005347594,3.4010695187165774,5.882352941176471,2.855345911949686
Volibear,182,0.510989010989011,3.5934065934065935,4.0,6.763736263736264,2.5892857142857144
Thresh,177,0.5028248587570622,1.03954802259887,3.7288135593220337,11.418079096045197,3.340909090909091
Olaf,171,0.5029239766081871,4.508771929824562,3.9473684210526314,5.239766081871345,2.4696296296296296
Seraphine,159,0.39622641509433965,1.6729559748427674,3.018867924528302,10.29559748427673,3.9645833333333336
Draven,153,0.5228758169934641,4.947712418300654,3.150326797385621,5.5359477124183005,3.327800829875519
Kindred,152,0.48026315789473684,4.723684210526316,3.236842105263158,6.302631578947368,3.4065040650406506
Milio,140,0.42142857142857143,0.4857142857142857,2.335714285714286,10.32857142857143,4.629969418960244
Vladimir,132,0.5151515151515151,4.348484848484849,3.090909090909091,5.424242424242424,3.1617647058823533
Fiora,130,0.5307692307692308,3.8230769230769233,3.5153846153846153,3.5076923076923077,2.085339168490153
Kennen,118,0.4406779661016949,3.457627118644068,4.02542372881356,5.822033898305085,2.3052631578947365
Yasuo,118,0.5254237288135594,3.864406779661017,4.11864406779661,5.813559322033898,2.3497942386831276
Rek'Sai,100,0.57,3.93,3.36,6.5,3.1041666666666665
Irelia,99,0.46464646464646464,4.444444444444445,5.191919191919192,4.777777777777778,1.7762645914396886
Malphite,94,0.4148936170212766,1.9680851063829787,3.0531914893617023,6.6063829787234045,2.808362369337979
Udyr,94,0.43617021276595747,1.8297872340425532,3.265957446808511,6.5212765957446805,2.55700325732899
